"","Year","Run","Esc","C_total","C_EEZ","F_EEZ","MFMT","ACL","Esc_goal","C_state","F_state","F_bar_state","Potential_Yield_EEZ"
"1",1999,45657,29100,16557,62,NA,NA,NA,13500,16495,0.361280855071511,NA,15662
"2",2000,41719,25502,16217,49,NA,NA,NA,13500,16168,0.387545243174573,NA,12051
"3",2001,45754,29531,16223,58,NA,NA,NA,13500,16165,0.353302443502207,NA,16089
"4",2002,55910,40514,15396,39,NA,NA,NA,13500,15357,0.274673582543373,NA,27053
"5",2003,67984,48461,19523,109,NA,NA,NA,13500,19414,0.285567192280537,NA,35070
"6",2004,91312,65112,26200,121,0.00125740664186303,0.45,157658,13500,26079,0.2856032065884,0.324662087193434,51733
"7",2005,84189,55688,28501,194,0.00147337076212041,0.48,184378,13500,28307,0.336231574196154,0.320487207047541,42382
"8",2006,57122,39305,17817,109,0.00156610841944858,0.49,198241,13500,17708,0.31000315115017,0.307563525043474,25914
"9",2007,44421,29664,14757,114,0.00171098773376432,0.5,198430,13500,14643,0.329641385831026,0.30362001543161,16278
"10",2008,42680,28094,14586,49,0.00179516543378006,0.48,186020,13500,14537,0.340604498594189,0.314608501440079,14643
"11",2009,28044,18251,9793,105,0.00198983230199443,0.45,155806,13500,9688,0.345457138781914,0.324590159190309,4856
"12",2010,22180,13037,9143,65,0.00228254784019294,0.37,104073,13500,9078,0.409287646528404,0.345204232513643,0
"13",2011,26381,15731,10650,72,0.00232760338362889,0.29,63994,13500,10578,0.400970395360297,0.355994036041,2303
"14",2012,23206,22453,753,38,0.0023700992980654,0.25,47071,13500,715,0.030810997155908,0.30946201037529,8991
"15",2013,14382,12305,2077,32,0.00230122455744456,0.2,30793,13500,2045,0.142191628424419,0.278220384140855,0
"16",2014,13403,11980,1423,32,0.00269600927928775,0.13,16150,13500,1391,0.103782735208535,0.238750090243246,0
"17",2015,22796,16825,5971,40,0.00228038055383006,0.12,14659,13500,5931,0.260177224074399,0.224536771125327,3365
"18",2016,25129,14676,10453,102,0.0025220077096818,0.13,15937,13500,10351,0.411914521071272,0.224974583549139,1278
"19",2017,31262,20615,10647,41,0.00218931002166265,0.16,20790,13500,10606,0.339261723498177,0.214689804905452,7156
"20",2018,18511,17289,1222,103,0.00278922244447455,0.13,15691,13500,1119,0.0604505429204257,0.219629729199538,3892
"21",2019,13271,11638,1633,29,0.00279001704563728,0.13,15691,13500,1604,0.120865044081079,0.216075298475648,0
"22",2020,12219,11909,310,29,0.00279247978699224,0.13,15691,15000,281,0.0229969719289631,0.202611004595719,0
"23",2021,12665,12147,518,25,0.00291003653024581,0.11,12326,15000,493,0.0389261744966443,0.165735829666094,0
"24",2022,14113,13974,139,32,0.00253819543124822,0.11,11554,15000,107,0.00758166229717282,0.0983470198704103,0
