Year,Total Run,Escapement,Total Harvest,,All Sockeye Drift Gillnet Harvest,Kasilof R. proportion,Kasilof R. Drift Gillnet Harvest,Drift Gillnet Catch proportion in EEZ,EEZ Harvest,State waters Harvest,,,,,,
1999,826369.00,312481.00,513888.00,,1413995.00,0.18,256768.00,0.43,110375.00,403513.00,,,,,,
2000,531010.00,263631.00,267379.00,,656427.00,0.17,108977.00,0.55,59799.00,207580.00,,,,,,
2001,751059.00,318735.00,432324.00,,846275.00,0.20,166105.00,0.49,80582.00,351742.00,,,,,,
2002,667235.00,235732.00,431503.00,,1367251.00,0.13,179334.00,0.42,75989.00,355514.00,,,,,,
2003,862230.00,353526.00,508704.00,,1593638.00,0.10,166388.00,0.47,77547.00,431157.00,,,,,,
2004,1420613.00,523653.00,896960.00,,2529642.00,0.15,370269.00,0.43,160178.00,736782.00,,,,,,
2005,1227018.00,360065.00,866953.00,,2520327.00,0.07,181464.00,0.39,71272.00,795681.00,,,,,,
2006,1879917.36,389645.00,1490272.36,,784771.00,0.30,232292.00,0.26,61015.00,1429257.36,,,,,,
2007,1157208.69,365184.00,792024.69,,1823481.00,0.16,293580.00,0.66,192642.00,599382.69,,,,,,
2008,1575444.77,327018.00,1248426.77,,983303.00,0.35,339240.00,0.47,160446.00,1087980.77,,,,,,
2009,1104972.41,326283.00,778689.41,,968368.00,0.16,153002.00,0.57,86995.00,691694.41,,,,,,
2010,818623.46,295265.00,523358.46,,1587657.00,0.08,122250.00,0.60,72918.00,450440.46,,,,,,
2011,809736.41,245721.00,564015.41,,3201035.00,0.05,163253.00,0.46,74941.00,489074.41,,,,,,
2012,632426.24,374523.00,257903.24,,2924144.00,0.05,131586.00,0.49,65014.00,192889.24,,,,,,
2013,1003071.05,489654.00,513417.05,,1662561.00,0.06,96429.00,0.53,50886.00,462531.05,,,,,,
2014,1102933.60,440192.00,662741.60,,1501678.00,0.10,156175.00,0.48,74291.00,588450.60,,,,,,
2015,1174898.76,470677.00,704221.76,,1012684.00,0.05,54685.00,0.32,17622.00,686599.76,,,,,,
2016,480773.52,239981.00,240792.52,,1266746.00,0.00,2533.00,0.35,899.00,239893.52,,,,,,
2017,801902.00,358724.00,443178.00,,880279.00,0.11,92429.00,0.42,39113.00,404065.00,,,,,,
2018,717164.00,388009.00,329155.00,,400269.00,0.15,58439.00,0.52,30215.00,298940.00,,,,,,
2019,613252.00,373416.00,239836.00,,749101.00,0.03,21724.00,0.45,9717.00,230119.00,,,,,,
2020,845000.00,541651.00,303349.00,,283727.00,0.09,25646.00,0.25,6319.00,297030.00,,,,,,
2021,925474.00,516859.00,408615.00,,851901.00,0.06,54769.00,0.39,21292.00,387323.00,,,,,,
2022,1495000.00,,,,893743.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
