"","Year","Run size","Escapement","Escapement goal","Total catch","State catch","F_state","EEZ Catch"," F_EEZ","MFMT","Potential Yield EEZ"
"1",1999,826,312,160,514,404,0.489,110,NA,NA,262
"2",2000,531,264,160,267,207,0.39,60,NA,NA,164
"3",2001,751,319,160,432,351,0.467,81,NA,NA,240
"4",2002,667,236,160,432,356,0.534,76,NA,NA,151
"5",2003,862,354,160,509,431,0.5,78,0.111,0.299,271
"6",2004,1421,524,160,897,737,0.519,160,0.108,0.319,524
"7",2005,1227,360,160,867,796,0.649,71,0.095,0.296,271
"8",2006,1880,390,160,1490,1429,0.76,61,0.074,0.249,291
"9",2007,1157,365,160,792,599,0.518,193,0.086,0.268,398
"10",2008,1575,327,160,1248,1088,0.691,160,0.089,0.249,327
"11",2009,1105,326,160,779,692,0.626,87,0.082,0.222,253
"12",2010,819,295,160,523,450,0.549,73,0.088,0.226,209
"13",2011,810,246,160,564,489,0.604,75,0.108,0.247,161
"14",2012,632,375,160,258,193,0.305,65,0.093,0.249,279
"15",2013,1003,490,160,513,462,0.461,51,0.08,0.294,381
"16",2014,1103,440,160,663,589,0.534,74,0.077,0.317,354
"17",2015,1175,471,160,704,686,0.584,18,0.06,0.318,329
"18",2016,481,240,160,241,240,0.499,1,0.048,0.324,81
"19",2017,802,359,160,443,404,0.504,39,0.04,0.303,238
"20",2018,717,388,160,329,299,0.417,30,0.038,0.295,258
"21",2019,613,373,160,240,230,0.375,10,0.026,0.298,223
"22",2020,845,542,140,303,297,0.351,6,0.025,0.349,408
"23",2021,925,517,140,409,388,0.419,21,0.027,0.391,397
"24",2022,1495,968,140,527,482,0.322,45,0.024,0.47,873
"25",2023,1393,933,140,460,403,0.289,57,0.026,0.522,850
