"","Year","Total catch","EEZ catch","Cumulative EEZ catch"
"1",2000,189728,42595,42595
"2",2002,490034,114737,114737
"3",2004,393589,103094,103094
"4",2006,442423,90616,90616
"5",2008,208092,49503,49503
"6",2010,320840,89935,89935
"7",2012,498572,132790,132790
"8",2014,703285,150023,150023
"9",2016,425497,109481,109481
"10",2018,172974,38981,38981
"11",2020,395430,11828,11828
"12",2022,131082,29611,29611
