"","Stock","Catch","Size/Age","Abundance","Life History","Ecosystem"
"1","Kenai Sockeye Salmon",4,4,4,4,0
"2","Kasilof Sockeye Salmon",4,4,4,4,0
"3","Aggregate Other Sockeye Salmon",4,3,3,4,0
"4","Aggregate Chinook Salmon",4,3,3,4,0
"5","Aggregate Chum Salmon",4,3,3,4,0
"6","Aggregate Coho Salmon",4,3,3,4,0
"7","Aggregate Pink Salmon",4,5,2,4,0
