"","buffer","OFL","ABC","Cumulative catch","ABC exceeded"
"1","0.1","1271050","127105","456635","YES"
"2","0.2","1271050","254210","456635","YES"
"3","0.3","1271050","381315","456635","YES"
"4","0.4","1271050","508420","456635","NO"
"5","0.5","1271050","635525","456635","NO"
"6","0.6","1271050","762630","456635","NO"
"7","0.7","1271050","889735","456635","NO"
"8","0.8","1271050","1016840","456635","NO"
"9","0.9","1271050","1143945","456635","NO"
