"","Year","Run","Esc","C_total","C_EEZ","Esc_goal","C_state","F_state","F_bar_state","Potential_Yield_EEZ","F_EEZ","MFMT","MSST","Cum_Esc","Overfished","Overfishing","ACL","Cum_Catch","ACL_exceeded"
"1",1999,774350,125775,648575,156824,150000,491751,0.635050041970685,NA,132599,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2000,587485,152627,434858,119113,150000,315745,0.537452020051576,NA,121740,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2001,583082,127001,456081,109011,150000,347070,0.595233603506882,NA,86012,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2002,803272,169074,634198,143699,110000,490499,0.610626288480116,NA,202773,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2003,893443,273111,620332,233954,110000,386378,0.432459597310629,0.562164310263978,397065,0.209411879069604,0.258177926819624,335000,847588,"NO","NO",940189,762601,"NO"
"6",2004,852876,93438,759438,217801,110000,541637,0.63507121785582,0.562168545441005,201239,0.221382532677376,0.271179073576983,315000,815251,"NO","NO",1008829,823578,"NO"
"7",2005,727514,51136,676378,61373,110000,615005,0.845351429663209,0.623748427363331,2509,0.198394015626704,0.230454638596524,295000,713760,"NO","NO",889598,765838,"NO"
"8",2006,380568,124613,255955,38546,110000,217409,0.571275041516891,0.618956714965333,53159,0.190113495656938,0.234232256410018,275000,711372,"NO","NO",856745,695373,"NO"
"9",2007,758728,107849,650879,229734,110000,421145,0.555067165044654,0.60784489027824,227583,0.216269056543511,0.243986583374134,275000,650147,"NO","NO",881555,781408,"NO"
"10",2008,533554,109485,424069,85106,110000,338963,0.63529277261533,0.648411525339181,84591,0.194440004426357,0.17492745693524,275000,486521,"NO","YES",569081,632560,"YES"
"11",2009,726587,186747,539840,135999,80000,403841,0.555805430044853,0.632558367776987,242746,0.176132596897105,0.195266251373942,260000,579830,"NO","NO",610588,550758,"NO"
"12",2010,840266,203360,636906,201708,80000,435198,0.517928846341516,0.567073851112649,325068,0.213319862962747,0.288034736517514,245000,732054,"NO","NO",933147,691093,"NO"
"13",2011,1023813,189165,834648,254210,80000,580438,0.566937516909826,0.566206346191236,363375,0.233522828531312,0.320211087040053,230000,796606,"NO","NO",1243363,906757,"NO"
"14",2012,563588,90821,472767,166148,80000,306619,0.544048134452827,0.564002540072871,176969,0.22863744533338,0.323430341275902,215000,779578,"NO","NO",1192749,843171,"NO"
"15",2013,632105,125376,506729,143884,80000,362845,0.57402646712176,0.551749278974156,189260,0.238210111613822,0.342655833744238,2e+05,795469,"NO","NO",1297418,901949,"NO"
"16",2014,574123,104948,469175,136438,80000,332737,0.579556993884586,0.556499591742103,161386,0.248325281825699,0.334643130855459,2e+05,713670,"NO","NO",1216058,902388,"NO"
"17",2015,748286,243324,504962,70489,80000,434473,0.580624253293527,0.569038673132505,233813,0.21772656881941,0.317569168091273,2e+05,753634,"NO","NO",1124803,771169,"NO"
"18",2016,429528,121327,308201,48990,80000,259211,0.603478702203349,0.57634691019121,90317,0.192001370592646,0.288959265579466,2e+05,685796,"NO","NO",851745,565949,"NO"
"19",2017,812132,156052,656080,131865,65000,524215,0.645480045115819,0.596633292323808,222917,0.166344510655553,0.280864871562061,192500,751027,"NO","NO",897693,531666,"NO"
"20",2018,507948,146090,361858,79263,65000,282595,0.556346318914535,0.593097262682363,160353,0.152032036281049,0.282806377699082,185000,771741,"NO","NO",868786,467045,"NO"
"21",2019,604263,155558,448705,73049,65000,375656,0.621676323058006,0.601521128517047,163607,0.130121073820571,0.28077463519738,177500,822351,"NO","NO",871007,403656,"NO"
"22",2020,338369,107527,230842,13142,65000,217700,0.643380451518904,0.614072368162122,55669,0.128632291326182,0.257355584940421,170000,686554,"NO","NO",692863,346309,"NO"
"23",2021,538072,170757,367315,54303,65000,313012,0.581728839263147,0.609722395574082,160060,0.125544133356946,0.272283046461277,162500,735984,"NO","NO",762606,351622,"NO"
"24",2022,348305.4,114546,233759.4,132729,65000,101030.4,0.29006268636662,0.538638923824242,182275,0.150831161920196,0.308933316456689,162500,694478,"NO","NO",721964,352486,"NO"
"25",2023,270411.8,82833,187578.8,183412,65000,4166.79999999999,0.0154090908754721,0.43045147821643,201245,0.21750518666764,0.363364912195799,162500,631221,"NO","NO",762856,456635,"NO"
