"","Year","Run","Esc","C_total","C_EEZ","F_EEZ","MFMT","ACL","Esc_goal","C_state","F_state","F_bar_state","Potential_Yield_EEZ"
"1",1999,774350,125775,648575,156824,NA,NA,NA,150000,491751,0.635050041970685,NA,132599
"2",2000,587485,152627,434858,119113,NA,NA,NA,150000,315745,0.537452020051576,NA,121740
"3",2001,583082,127001,456081,109011,NA,NA,NA,150000,347070,0.595233603506882,NA,86012
"4",2002,803272,169074,634198,143699,NA,NA,NA,110000,490499,0.610626288480116,NA,202773
"5",2003,893443,273111,620332,233954,0.209411879069604,0.26,940189,110000,386378,0.432459597310629,0.562164310263978,397065
"6",2004,852876,93438,759438,217801,0.221382532677376,0.27,1008829,110000,541637,0.63507121785582,0.562168545441005,201239
"7",2005,727514,51136,676378,61373,0.198394015626704,0.23,889598,110000,615005,0.845351429663209,0.623748427363331,2509
"8",2006,380568,124613,255955,38546,0.190113495656938,0.23,856745,110000,217409,0.571275041516891,0.618956714965333,53159
"9",2007,758728,107849,650879,229734,0.216269056543511,0.24,881555,110000,421145,0.555067165044654,0.60784489027824,227583
"10",2008,533554,109485,424069,85106,0.194440004426357,0.18,569081,110000,338963,0.63529277261533,0.648411525339181,84591
"11",2009,726587,186747,539840,135999,0.176132596897105,0.2,610588,80000,403841,0.555805430044853,0.632558367776987,242746
"12",2010,840266,203360,636906,201708,0.213319862962747,0.29,933147,80000,435198,0.517928846341516,0.567073851112649,325068
"13",2011,1023813,189165,834648,254210,0.233522828531312,0.32,1243363,80000,580438,0.566937516909826,0.566206346191236,363375
"14",2012,563588,90821,472767,166148,0.22863744533338,0.32,1192749,80000,306619,0.544048134452827,0.564002540072871,176969
"15",2013,632105,125376,506729,143884,0.238210111613822,0.34,1297418,80000,362845,0.57402646712176,0.551749278974156,189260
"16",2014,574123,104948,469175,136438,0.248325281825699,0.34,1216058,80000,332737,0.579556993884586,0.556499591742103,161386
"17",2015,748286,243324,504962,70489,0.21772656881941,0.32,1124803,80000,434473,0.580624253293527,0.569038673132505,233813
"18",2016,429528,121327,308201,48990,0.192001370592646,0.29,851745,80000,259211,0.603478702203349,0.57634691019121,90317
"19",2017,812132,156052,656080,131865,0.166344510655553,0.28,897693,65000,524215,0.645480045115819,0.596633292323808,222917
"20",2018,507948,146090,361858,79263,0.152032036281049,0.28,868786,65000,282595,0.556346318914535,0.593097262682363,160353
"21",2019,604263,155558,448705,73049,0.130121073820571,0.28,871007,65000,375656,0.621676323058006,0.601521128517047,163607
"22",2020,338369,107527,230842,13142,0.128632291326182,0.26,692863,65000,217700,0.643380451518904,0.614072368162122,55669
"23",2021,538072,170757,367315,54303,0.125544133356946,0.27,762606,65000,313012,0.581728839263147,0.609722395574082,160060
"24",2022,348305.4,114546,233759.4,132729,0.150831161920196,0.31,721964,65000,101030.4,0.29006268636662,0.538638923824242,182275
