"","X","Year","Total.Catch","EEZ.Catch","Yentna.R.","Chelatna.Lk.","Judd.Lk.","Larson.Lk.","Fish.Ck.","Total","Run","LB.Goal.Index","Potential.Yield","FEEZ","MFMT","MSST","Cumulative.Escapement","ACL","Cumulative.Catch","Overfishing.","Overfished.","ACL.Exceeded."
"1",1,1999,648575,156824,99029,NA,NA,NA,26746,125775,774350,150000,132599,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,2000,434858,119113,133094,NA,NA,NA,19533,152627,587485,150000,121740,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,2001,456081,109011,83532,NA,NA,NA,43469,127001,583082,150000,86012,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,2002,634198,143699,78591,NA,NA,NA,90483,169074,803272,110000,202773,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,2003,620332,233954,180813,NA,NA,NA,92298,273111,893443,110000,397065,0.209,0.258,335000,847588,940189,762601,"No","No","No"
"6",6,2004,759438,217801,71281,NA,NA,NA,22157,93438,852876,110000,201239,0.221,0.271,315000,815251,1008829,823578,"No","No","No"
"7",7,2005,676378,61373,36921,NA,NA,NA,14215,51136,727514,110000,2509,0.198,0.23,295000,713760,889598,765838,"No","No","No"
"8",8,2006,255955,38546,92051,NA,NA,NA,32562,124613,380568,110000,53159,0.19,0.234,275000,711372,856745,695373,"No","No","No"
"9",9,2007,650879,229734,79901,NA,NA,NA,27948,107849,758728,110000,227583,0.216,0.244,275000,650147,881555,781408,"No","No","No"
"10",10,2008,424069,85106,90146,NA,NA,NA,19339,109485,533554,110000,84591,0.194,0.175,275000,486521,569081,632560,"Yes","No","Yes"
"11",11,2009,539840,135999,NA,"17,721","44,616",40930,83480,186747,726587,80000,242746,0.176,0.195,260000,579830,610588,550758,"No","No","No"
"12",12,2010,636906,201708,NA,"37,734","18,466",20324,126836,203360,840266,80000,325068,0.213,0.288,245000,732054,933147,691093,"No","No","No"
"13",13,2011,834648,254210,NA,"70,353","39,909",12225,66678,189165,1023813,80000,363375,0.234,0.32,230000,796606,1243363,906757,"No","No","No"
"14",14,2012,472767,166148,NA,"36,736","18,715",16557,18813,90821,563588,80000,176969,0.229,0.323,215000,779578,1192749,843171,"No","No","No"
"15",15,2013,506729,143884,NA,"70,555","14,088",21821,18912,125376,632105,80000,189260,0.238,0.343,2e+05,795469,1297418,901949,"No","No","No"
"16",16,2014,469175,136438,NA,"26,374","22,229",12430,43915,104948,574123,80000,161386,0.248,0.335,2e+05,713670,1216058,902388,"No","No","No"
"17",17,2015,504962,70489,NA,"69,897","47,934",23184,102309,243324,748286,80000,233813,0.218,0.318,2e+05,753634,1124803,771169,"No","No","No"
"18",18,2016,308201,48990,NA,"60,792",NA,14333,46202,121327,429528,80000,90317,0.192,0.289,2e+05,685796,851745,565949,"No","No","No"
"19",19,2017,656080,131865,NA,"26,986","35,731",31866,61469,156052,812132,65000,222917,0.166,0.281,192500,751027,897693,531666,"No","No","No"
"20",20,2018,361858,79263,NA,"20,434","30,844",23632,71180,146090,507948,65000,160353,0.152,0.283,185000,771741,868786,467045,"No","No","No"
"21",21,2019,448705,73049,NA,"26,303","44,145",9699,75411,155558,604263,65000,163607,0.13,0.281,177500,822351,871007,403656,"No","No","No"
"22",22,2020,230842,13142,NA,"NS","31,219",12074,64234,107527,338369,65000,55669,0.129,0.257,170000,686554,692863,346309,"No","No","No"
"23",23,2021,367315,54303,NA,"NS","49,440",21993,99324,170757,538072,65000,160060,0.126,0.272,162500,735984,762606,351622,"No","No","No"
"24",24,2022,233759,128661,NA,"NS","38,442",17436,58668,114546,348305,65000,178207,0.149,0.307,162500,694478,717896,348418,"No","No","No"
"25",25,2023,549142,209064,NA,"NS","ND",38069,44764,82833,631975,65000,226897,0.194,0.319,162500,631221,784440,478219,"No","No","No"
"26",26,2024,330998,57496,NA,"NS",NA,16133,37943,54076,2950862,65000,46572,0.096,0.139,162500,529739,667405,462666,"No","No","No"
