"buffer","Preseason OFL","ABC","OFL"
"10%","373","336","2237"
"20%","373","298","2237"
"30%","373","261","2237"
"40%","373","224","2237"
"50%","373","186","2237"
"60%","373","149","2237"
"70%","373","112","2237"
"80%","373","75","2237"
"90%","373","37","2237"
