"","buffer","OFL","ABC","Preseason OFL","Preseason ABC"
"1",0.1,2237,223.7,372.833333333333,37.2833333333333
"2",0.2,2237,447.4,372.833333333333,74.5666666666667
"3",0.3,2237,671.1,372.833333333333,111.85
"4",0.4,2237,894.8,372.833333333333,149.133333333333
"5",0.5,2237,1118.5,372.833333333333,186.416666666667
"6",0.6,2237,1342.2,372.833333333333,223.7
"7",0.7,2237,1565.9,372.833333333333,260.983333333333
"8",0.8,2237,1789.6,372.833333333333,298.266666666667
"9",0.9,2237,2013.3,372.833333333333,335.55
"10",1,2237,2237,372.833333333333,372.833333333333
