"","Year","Run","Esc","C_total","C_EEZ","Esc_goal","C_state","F_state","F_bar_state","Potential_Yield_EEZ","F_EEZ","MFMT","MSST","Cum_Esc","Overfished","Overfishing","OFL_post","Cum_Catch","OFL_exceeded"
"1",1999,826,312,514,110,222,404,0.48910411622276,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2000,531,264,267,60,222,207,0.389830508474576,NA,102,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2001,751,319,432,81,222,351,0.467376830892144,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2002,667,236,432,76,222,356,0.533733133433283,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2003,862,354,509,78,222,431,0.5,0.476008917804553,209,0.111355512785263,0.213912565301072,555,1485,"NO","NO",778,405,"NO"
"6",2004,1421,524,897,160,222,737,0.518648838845883,0.481917862329177,462,0.107514177693762,0.245746691871456,555,1697,"NO","NO",1040,455,"NO"
"7",2005,1227,360,867,71,222,796,0.648736756316218,0.533699111897506,209,0.0945616883116883,0.232751623376623,555,1793,"NO","NO",1147,466,"NO"
"8",2006,1880,390,1490,61,222,1429,0.760106382978723,0.592245022314822,229,0.0736338121182103,0.197787683671785,555,1864,"NO","NO",1198,446,"NO"
"9",2007,1157,365,792,193,222,599,0.51771823681936,0.589042042992037,336,0.085993584848022,0.220711776386131,555,1993,"NO","NO",1445,563,"NO"
"10",2008,1575,327,1248,160,222,1088,0.690793650793651,0.627200773150767,265,0.0888429752066116,0.206749311294766,555,1966,"NO","NO",1501,645,"NO"
"11",2009,1105,326,779,87,222,692,0.626244343891403,0.648719874159871,191,0.0823732718894009,0.17713133640553,555,1768,"NO","NO",1230,572,"NO"
"12",2010,819,295,523,73,222,450,0.549450549450549,0.628862632786737,147,0.0878212974296206,0.178702570379437,555,1703,"NO","NO",1168,574,"NO"
"13",2011,810,246,564,75,222,489,0.603703703703704,0.597582096931733,99,0.107574094401756,0.189901207464325,555,1559,"NO","NO",1038,588,"NO"
"14",2012,632,375,258,65,222,193,0.305379746835443,0.55511439893495,217,0.0930985630439182,0.185994737907306,555,1569,"NO","NO",919,460,"NO"
"15",2013,1003,490,513,51,222,462,0.46061814556331,0.509079297888882,319,0.0803387502861067,0.222705424582284,555,1732,"NO","NO",973,351,"NO"
"16",2014,1103,440,663,74,222,589,0.533998186763373,0.490630066463276,292,0.0773986718571101,0.245935424776735,555,1846,"NO","NO",1074,338,"NO"
"17",2015,1175,471,704,18,222,686,0.583829787234043,0.497505914019974,267,0.0599195426635613,0.252805420283718,555,2022,"NO","NO",1194,283,"NO"
"18",2016,481,240,241,1,222,240,0.498960498960499,0.476557273071333,19,0.0475648611743286,0.253527537551206,555,2016,"NO","NO",1114,209,"NO"
"19",2017,802,359,443,39,222,404,0.503740648379052,0.516229453380055,176,0.0400964066608238,0.23510078878177,555,2000,"NO","NO",1073,183,"NO"
"20",2018,717,388,329,30,222,299,0.417015341701534,0.5075088926077,196,0.0378681626928471,0.222066386161758,555,1898,"NO","NO",950,162,"NO"
"21",2019,613,373,240,10,222,230,0.375203915171289,0.475750038289283,161,0.0258711721224921,0.216209081309398,555,1831,"NO","NO",819,98,"NO"
"22",2020,845,542,303,6,222,297,0.351479289940828,0.429279938830641,326,0.0248698669751301,0.253903990746096,555,1902,"NO","NO",878,86,"NO"
"23",2021,925,517,409,21,222,388,0.419459459459459,0.413379730930433,315,0.0271655561250641,0.300871348026653,555,2179,"NO","NO",1174,106,"NO"
"24",2022,1450,968,482,50,222,432,0.297931034482759,0.372217808151174,796,0.0257142857142857,0.394285714285714,555,2788,"NO","NO",1794,117,"NO"
"25",2023,1299,933,365,71,222,294,0.226327944572748,0.334080328725417,783,0.0307872174590803,0.463951675759938,555,3333,"NO","NO",2381,158,"NO"
"26",2024,1787,1048,739,78,222,661,0.369893676552882,0.333018281001735,904,0.0358388836029179,0.495401205201396,555,4008,"NO","NO",3124,226,"NO"
