"","buffer","OFL","ABC","Cumulative catch","ABC exceeded"
"1","0.1","965","96.5","139","YES"
"2","0.2","965","193","139","NO"
"3","0.3","965","289.5","139","NO"
"4","0.4","965","386","139","NO"
"5","0.5","965","482.5","139","NO"
"6","0.6","965","579","139","NO"
"7","0.7","965","675.5","139","NO"
"8","0.8","965","772","139","NO"
"9","0.9","965","868.5","139","NO"
