Year,Total Catch,EEZ Catch,Esc,Run,Esc Goal,Potential Yield EEZ,FEEZ,MFMT,MSST,Cumulative Escapement,ACL,Cumulative Catch,Overfishing?,Overfished?,ACL Exceeded?
1999,514,110,312,826,160,263,,,,,,,,,
2000,267,60,264,531,160,163,,,,,,,,,
2001,432,81,319,751,160,239,,,,,,,,,
2002,432,76,236,667,160,152,,,,,,,,,
2003,509,78,354,862,160,271,0.11,0.3,400,1484,1088,404,No,No,No
2004,897,160,524,1421,160,524,0.11,0.32,400,1695,1349,454,No,No,No
2005,867,71,360,1227,160,271,0.09,0.3,400,1792,1457,466,No,No,No
2006,1490,61,390,1880,160,291,0.07,0.25,400,1863,1509,446,No,No,No
2007,792,193,365,1157,160,398,0.09,0.27,400,1992,1755,563,No,No,No
2008,1248,160,327,1575,160,327,0.09,0.25,400,1966,1811,646,No,No,No
2009,779,87,326,1105,160,253,0.08,0.22,400,1768,1541,572,No,No,No
2010,523,73,295,819,160,208,0.09,0.23,400,1703,1477,574,No,No,No
2011,564,75,246,810,160,161,0.11,0.25,400,1559,1347,588,No,No,No
2012,258,65,375,632,160,280,0.09,0.25,400,1569,1229,460,No,No,No
2013,513,51,490,1003,160,381,0.08,0.29,400,1731,1282,351,No,No,No
2014,663,74,440,1103,160,354,0.08,0.32,400,1845,1383,338,No,No,No
2015,704,18,471,1175,160,328,0.06,0.32,400,2021,1504,283,No,No,No
2016,241,1,240,481,160,81,0.05,0.32,400,2015,1424,209,No,No,No
2017,443,39,359,802,160,238,0.04,0.3,400,1999,1382,183,No,No,No
2018,329,30,388,717,160,258,0.04,0.29,400,1898,1260,162,No,No,No
2019,240,10,373,613,160,223,0.03,0.3,400,1831,1128,98,No,No,No
2020,303,6,542,845,140,408,0.03,0.35,390,1902,1208,86,No,No,No
2021,409,21,517,925,140,398,0.03,0.39,380,2179,1525,107,No,No,No
2022,527,45,968,1495,140,873,0.025,0.47,370,2788,2161,113,No,No,No
2023,460,57,933,1393,140,850,0.026,0.522,360,3333,2753,140,No,No,No
