"","Year","Run","Esc","C_total","C_EEZ","F_EEZ","MFMT","ACL","Esc_goal","C_state","F_state","F_bar_state","Potential_Yield_EEZ"
"1",1999,826,312,514,110,NA,NA,NA,160,404,0.48910411622276,NA,262
"2",2000,531,264,267,60,NA,NA,NA,160,207,0.389830508474576,NA,164
"3",2001,751,319,432,81,NA,NA,NA,160,351,0.467376830892144,NA,240
"4",2002,667,236,432,76,NA,NA,NA,160,356,0.533733133433283,NA,151
"5",2003,862,354,509,78,0.111355512785263,0.3,1088,160,431,0.5,0.476008917804553,271
"6",2004,1421,524,897,160,0.107514177693762,0.32,1349,160,737,0.518648838845883,0.481917862329177,524
"7",2005,1227,360,867,71,0.0945616883116883,0.3,1457,160,796,0.648736756316218,0.533699111897506,271
"8",2006,1880,390,1490,61,0.0736338121182103,0.25,1509,160,1429,0.760106382978723,0.592245022314822,291
"9",2007,1157,365,792,193,0.085993584848022,0.27,1755,160,599,0.51771823681936,0.589042042992037,398
"10",2008,1575,327,1248,160,0.0888429752066116,0.25,1811,160,1088,0.690793650793651,0.627200773150767,327
"11",2009,1105,326,779,87,0.0823732718894009,0.22,1541,160,692,0.626244343891403,0.648719874159871,253
"12",2010,819,295,523,73,0.0878212974296206,0.23,1477,160,450,0.549450549450549,0.628862632786737,209
"13",2011,810,246,564,75,0.107574094401756,0.25,1347,160,489,0.603703703703704,0.597582096931733,161
"14",2012,632,375,258,65,0.0930985630439182,0.25,1229,160,193,0.305379746835443,0.55511439893495,279
"15",2013,1003,490,513,51,0.0803387502861067,0.29,1282,160,462,0.46061814556331,0.509079297888882,381
"16",2014,1103,440,663,74,0.0773986718571101,0.32,1383,160,589,0.533998186763373,0.490630066463276,354
"17",2015,1175,471,704,18,0.0599195426635613,0.32,1504,160,686,0.583829787234043,0.497505914019974,329
"18",2016,481,240,241,1,0.0475648611743286,0.32,1424,160,240,0.498960498960499,0.476557273071333,81
"19",2017,802,359,443,39,0.0400964066608238,0.3,1382,160,404,0.503740648379052,0.516229453380055,238
"20",2018,717,388,329,30,0.0378681626928471,0.29,1260,160,299,0.417015341701534,0.5075088926077,258
"21",2019,613,373,240,10,0.0258711721224921,0.3,1128,160,230,0.375203915171289,0.475750038289283,223
"22",2020,845,542,303,6,0.0248698669751301,0.35,1208,140,297,0.351479289940828,0.429279938830641,408
"23",2021,925,517,409,21,0.0271655561250641,0.39,1525,140,388,0.419459459459459,0.413379730930433,397
"24",2022,1495,968,527,45,0.0243743199129489,0.47,2161,140,482,0.322408026755853,0.377113206605793,873
"25",2023,1393,933,460,57,0.026370707645608,0.522,2753,140,403,0.289303661162958,0.351570870498077,850
