"","Year","Run","Esc","C_total","C_EEZ","Esc_goal","C_state","F_state","F_bar_state","Potential_Yield_EEZ","F_EEZ","MFMT","MSST","Cum_Esc","Overfished","Overfishing","ACL","Cum_Catch","ACL_exceeded"
"1",1999,826,312,514,110,160,404,0.48910411622276,NA,262,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2000,531,264,267,60,160,207,0.389830508474576,NA,164,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2001,751,319,432,81,160,351,0.467376830892144,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2002,667,236,432,76,160,356,0.533733133433283,NA,151,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2003,862,354,509,78,160,431,0.5,0.476008917804553,271,0.111355512785263,0.299147649161397,400,1485,"NO","NO",1088,405,"NO"
"6",2004,1421,524,897,160,160,737,0.518648838845883,0.481917862329177,524,0.107514177693762,0.318998109640832,400,1697,"NO","NO",1350,455,"NO"
"7",2005,1227,360,867,71,160,796,0.648736756316218,0.533699111897506,271,0.0945616883116883,0.295657467532468,400,1793,"NO","NO",1457,466,"NO"
"8",2006,1880,390,1490,61,160,1429,0.760106382978723,0.592245022314822,291,0.0736338121182103,0.248968136040944,400,1864,"NO","NO",1508,446,"NO"
"9",2007,1157,365,792,193,160,599,0.51771823681936,0.589042042992037,398,0.085993584848022,0.26806170765236,400,1993,"NO","NO",1755,563,"NO"
"10",2008,1575,327,1248,160,160,1088,0.690793650793651,0.627200773150767,327,0.0888429752066116,0.249449035812672,400,1966,"NO","NO",1811,645,"NO"
"11",2009,1105,326,779,87,160,692,0.626244343891403,0.648719874159871,253,0.0823732718894009,0.221774193548387,400,1768,"NO","NO",1540,572,"NO"
"12",2010,819,295,523,73,160,450,0.549450549450549,0.628862632786737,209,0.0878212974296206,0.226132190942472,400,1703,"NO","NO",1478,574,"NO"
"13",2011,810,246,564,75,160,489,0.603703703703704,0.597582096931733,161,0.107574094401756,0.246615440907428,400,1559,"NO","NO",1348,588,"NO"
"14",2012,632,375,258,65,160,193,0.305379746835443,0.55511439893495,279,0.0930985630439182,0.248735073871686,400,1569,"NO","NO",1229,460,"NO"
"15",2013,1003,490,513,51,160,462,0.46061814556331,0.509079297888882,381,0.0803387502861067,0.293659876401923,400,1732,"NO","NO",1283,351,"NO"
"16",2014,1103,440,663,74,160,589,0.533998186763373,0.490630066463276,354,0.0773986718571101,0.316922372337989,400,1846,"NO","NO",1384,338,"NO"
"17",2015,1175,471,704,18,160,686,0.583829787234043,0.497505914019974,329,0.0599195426635613,0.318441668431082,400,2022,"NO","NO",1504,283,"NO"
"18",2016,481,240,241,1,160,240,0.498960498960499,0.476557273071333,81,0.0475648611743286,0.32407828857533,400,2016,"NO","NO",1424,209,"NO"
"19",2017,802,359,443,39,160,404,0.503740648379052,0.516229453380055,238,0.0400964066608238,0.303023663453111,400,2000,"NO","NO",1383,183,"NO"
"20",2018,717,388,329,30,160,299,0.417015341701534,0.5075088926077,258,0.0378681626928471,0.2945301542777,400,1898,"NO","NO",1260,162,"NO"
"21",2019,613,373,240,10,160,230,0.375203915171289,0.475750038289283,223,0.0258711721224921,0.2980464625132,400,1831,"NO","NO",1129,98,"NO"
"22",2020,845,542,303,6,140,297,0.351479289940828,0.429279938830641,408,0.0248698669751301,0.349334875650665,390,1902,"NO","NO",1208,86,"NO"
"23",2021,925,517,409,21,140,388,0.419459459459459,0.413379730930433,397,0.0271655561250641,0.390568939005638,380,2179,"NO","NO",1524,106,"NO"
"24",2022,1495,968,527,45,140,482,0.322408026755853,0.377113206605793,873,0.0243743199129489,0.469858541893362,370,2788,"NO","NO",2159,112,"NO"
"25",2023,1393,933,460,57,140,403,0.289303661162958,0.351570870498077,850,0.026370707645608,0.52191235059761,360,3333,"NO","NO",2751,139,"NO"
