"Year","Run.Forecast"
1999,660000
2000,786000
2001,688000
2002,787000
2003,677000
2004,727000
2005,911000
2006,937000
2007,1247000
2008,1286000
2009,822000
2010,901000
2011,929000
2012,754000
2013,903000
2014,1062000
2015,1092000
2016,861000
2017,825000
2018,866000
2019,873000
2020,723000
2021,881000
2022,941000
2023,1126000
2024,1115161
