"","buffer","OFL","ABC","Preseason OFL","Preseason ABC"
"1",0.1,965,96.5,883,88.3
"2",0.2,965,193,883,176.6
"3",0.3,965,289.5,883,264.9
"4",0.4,965,386,883,353.2
"5",0.5,965,482.5,883,441.5
"6",0.6,965,579,883,529.8
"7",0.7,965,675.5,883,618.1
"8",0.8,965,772,883,706.4
"9",0.9,965,868.5,883,794.7
