"","buffer","OFL","ABC","Cumulative catch","ABC exceeded"
"1","0.1","560932","56093.2","126886","YES"
"2","0.2","560932","112186.4","126886","YES"
"3","0.3","560932","168279.6","126886","NO"
"4","0.4","560932","224372.8","126886","NO"
"5","0.5","560932","280466","126886","NO"
"6","0.6","560932","336559.2","126886","NO"
"7","0.7","560932","392652.4","126886","NO"
"8","0.8","560932","448745.6","126886","NO"
"9","0.9","560932","504838.8","126886","NO"
