"","Year","Total catch","EEZ catch","Cumulative EEZ catch"
"1",1999,179720,80551,NA
"2",2000,133335,62061,NA
"3",2001,90953,36633,NA
"4",2002,245784,116282,295527
"5",2003,126146,53224,268200
"6",2004,151246,64510,270649
"7",2005,73992,33787,267803
"8",2006,67753,33259,184780
"9",2007,79871,46255,177811
"10",2008,53862,23460,136761
"11",2009,86817,41179,144153
"12",2010,233038,122502,233396
"13",2011,134114,48972,236113
"14",2012,274157,140233,352886
"15",2013,145038,76391,388098
"16",2014,122739,57216,322812
"17",2015,281694,116190,390030
"18",2016,127623,39656,289453
"19",2017,249251,103807,316869
"20",2018,118603,64550,324203
"21",2019,132645,53994,262007
"22",2020,33287,7681,230032
"23",2021,73235,29239,155464
"24",2022,103440,38805,129719
"25",2023,131163,51081,126806
