"","buffer","OFL","ABC","Preseason OFL","Preseason ABC"
"1",0.1,6070,607,5014.304,501.4304
"2",0.2,6070,1214,5014.304,1002.8608
"3",0.3,6070,1821,5014.304,1504.2912
"4",0.4,6070,2428,5014.304,2005.7216
"5",0.5,6070,3035,5014.304,2507.152
"6",0.6,6070,3642,5014.304,3008.5824
"7",0.7,6070,4249,5014.304,3510.0128
"8",0.8,6070,4856,5014.304,4011.4432
"9",0.9,6070,5463,5014.304,4512.8736
