"","Year","Run","Esc","C_total","C_EEZ","F_EEZ","MFMT","ACL","Esc_goal","C_state","F_state","F_bar_state","Potential_Yield_EEZ"
"1",1999,2985,949,2035,341,NA,NA,NA,700,1694,0.56750418760469,NA,591
"2",2000,1815,697,1118,181,NA,NA,NA,700,937,0.516253443526171,NA,178
"3",2001,2190,738,1451,221,NA,NA,NA,700,1230,0.561643835616438,NA,260
"4",2002,3467,1127,2340,360,NA,NA,NA,700,1980,0.571098932794924,NA,787
"5",2003,4440,1402,3037,431,0.102973753104652,0.2,2947,700,2606,0.586936936936937,0.560687467295832,1134
"6",2004,5705,1691,4015,716,0.108361241982176,0.23,4064,700,3299,0.578264680105171,0.562839565795928,1706
"7",2005,6109,1654,4455,857,0.117977271690019,0.26,5697,700,3598,0.588967097724668,0.577382296635628,1811
"8",2006,2849,1892,957,107,0.109481612760301,0.3,6737,700,850,0.298350298350298,0.5247235891824,1299
"9",2007,3602,964,2638,774,0.127064523232768,0.31,6989,700,1864,0.517490283176013,0.514001859258618,1038
"10",2008,2082,709,1374,220,0.131419865336413,0.3,6084,700,1154,0.554274735830932,0.507469419037417,228
"11",2009,2430,848,1582,328,0.133903467666354,0.28,4852,700,1254,0.516049382716049,0.495026359559592,476
"12",2010,3596,1038,2558,672,0.144309361906724,0.28,4052,700,1886,0.524471635150167,0.482127267044692,1010
"13",2011,6263,1281,4982,1140,0.174372670116286,0.25,4474,700,3842,0.613444036404279,0.545146014655488,1721
"14",2012,4770,1213,3557,1214,0.186719607126064,0.27,5162,700,2343,0.491194968553459,0.539886951730977,1727
"15",2013,3628,980,2648,683,0.195146710494513,0.29,5897,700,1965,0.541620727673649,0.537356150099521,963
"16",2014,3404,1218,2186,504,0.19449702229814,0.3,6443,700,1682,0.494124559341951,0.532971185424701,1022
"17",2015,3819,1400,2419,238,0.172683238895997,0.29,6371,700,2181,0.571091908876669,0.542295240170002,938
"18",2016,3712,1120,2592,400,0.15719236538561,0.28,5469,700,2192,0.59051724137931,0.537709881165008,820
"19",2017,2596,1071,1525,202,0.118130427181071,0.25,4315,700,1323,0.509630200308166,0.541396927515949,573
"20",2018,1566,887,679,97,0.0954494270384845,0.24,3637,700,582,0.371647509578544,0.507402283896928,284
"21",2019,3542,1457,2085,252,0.0780439776829669,0.24,3624,700,1833,0.517504234895539,0.512078219007646,1009
"22",2020,2394,1506,888,50,0.0724837074583635,0.25,3492,750,838,0.350041771094403,0.467868191451193,806
"23",2021,3992,2242,1751,256,0.0608232789212207,0.31,4420,750,1495,0.374498997995992,0.424664542774529,1747
"24",2022,2682,1263.18,1418.82,331.568,0.0695942437923251,0.330968637,4692.146,750,1087.252,0.405388516032811,0.403816205919458,844.748
"25",2023,3882.2,2093.1324,1789.0676,418.128,0.0792917864202471,0.374047779,6169.1704,750,1370.9396,0.353134717428262,0.400113647489402,1761.2604
