"","Year","Total catch","EEZ catch","Cumulative EEZ catch"
"1",1999,648575,156824,NA
"2",2000,434858,119113,NA
"3",2001,456081,109011,NA
"4",2002,634198,143699,NA
"5",2003,620332,233954,762601
"6",2004,759438,217801,823578
"7",2005,676378,61373,765838
"8",2006,255955,38546,695373
"9",2007,650879,229734,781408
"10",2008,424069,85106,632560
"11",2009,539840,135999,550758
"12",2010,636906,201708,691093
"13",2011,834648,254210,906757
"14",2012,472767,166148,843171
"15",2013,506729,143884,901949
"16",2014,469175,136438,902388
"17",2015,504962,70489,771169
"18",2016,308201,48990,565949
"19",2017,656080,131865,531666
"20",2018,361858,79263,467045
"21",2019,448705,73049,403656
"22",2020,230842,13142,346309
"23",2021,367315,54303,351622
"24",2022,233759,132729,352486
"25",2023,187579,183412,456635
