"","Year","Total catch","EEZ catch","Cumulative EEZ catch"
"1",2000,189728,42595,NA
"2",2002,490034,114737,157332
"3",2004,393589,103094,217831
"4",2006,442423,90616,193710
"5",2008,208092,49503,140119
"6",2010,320840,89935,139438
"7",2012,498572,132790,222725
"8",2014,703285,150023,282813
"9",2016,425497,109481,259504
"10",2018,172974,38981,148462
"11",2020,395430,11828,50809
"12",2022,131267,29550,41378
