"buffer","Preseason OFL","ABC","OFL"
"10%","67013","60312","268053"
"20%","67013","53611","268053"
"30%","67013","46909","268053"
"40%","67013","40208","268053"
"50%","67013","33507","268053"
"60%","67013","26805","268053"
"70%","67013","20104","268053"
"80%","67013","13403","268053"
"90%","67013","6701","268053"
