Year,Deshka_LB,Deshka_Esc,LitSusitna_LB,LitSusitna_Esc,Total.esc,MSST,Cum. Esc,TotalCatch,TotalRun
2019.00,9200.00,10445.00,10100.00,4229.00,14674.00,38600.00,106848.00,273194.00,287868.00
2020.00,9200.00,NA,10100.00,10765.00,10765.00,38600.00,100744.00,226730.00,237495.00
2021.00,9200.00,NA,10100.00,10923.00,10923.00,38600.00,57017.00,277020.00,287943.00
2022.00,9200.00,3168.00,10100.00,3162.00,6330.00,38600.00,42692.00,214514.00,220844.00
2023.00,9200.00,1817.00,10100.00,3726.00,5543.00,38600.00,33561.00,196778.00,202321.00
2024.00,9200.00,642.00,10100.00,964.00,1606.00,38600.00,24402.00,135469.00,137075.00
