Year,Total.Catch,EEZ.Catch,Deshka R.,Little Susitna R.,Total.Run.Index  ,Run,LB Goal Index,Potential Yield,FEEZ,MFMT,MSST,Cumulative Escapement (∑St),ACL,Cumulative Catch,Overfishing?,Overfished?,ACL Exceeded?
1999,257704.00,29177.00,4566.00,3017.00,7583.00,265287.00,19300.00,17460.00,,,,,,,,,
2000,443988.00,68810.00,26387.00,15436.00,41823.00,485811.00,19300.00,91333.00,,,,,,,,,
2001,320985.00,19384.00,29927.00,30587.00,60514.00,381499.00,19300.00,60598.00,,,,,,,,,
2002,465327.00,66185.00,24612.00,47938.00,72550.00,537877.00,19300.00,119435.00,0.11,0.17,38600.00,182470.00,288826.00,183556.00,No,No,No
2003,261952.00,26096.00,17305.00,10877.00,28182.00,290134.00,19300.00,34978.00,0.11,0.18,38600.00,203069.00,306344.00,180475.00,No,No,No
2004,509533.00,92888.00,62940.00,40199.00,103139.00,612672.00,19300.00,176727.00,0.11,0.22,38600.00,264385.00,391738.00,204553.00,No,No,No
2005,391817.00,64728.00,47887.00,16839.00,64726.00,456543.00,19300.00,110154.00,0.13,0.23,38600.00,268597.00,441294.00,249897.00,No,No,No
2006,359893.00,44646.00,59419.00,8786.00,68205.00,428098.00,19300.00,93551.00,0.13,0.23,38600.00,264252.00,415410.00,228358.00,No,No,No
2007,316900.00,65791.00,10575.00,17573.00,28148.00,345048.00,19300.00,74639.00,0.15,0.25,38600.00,264218.00,455071.00,268053.00,No,No,No
2008,357443.00,38407.00,12724.00,18485.00,31209.00,388652.00,19300.00,50316.00,0.13,0.20,38600.00,192288.00,328660.00,213572.00,No,No,No
2009,315690.00,37456.00,27348.00,9523.00,36871.00,352561.00,19300.00,55027.00,0.12,0.18,38600.00,164433.00,273533.00,186300.00,No,No,No
2010,353653.00,59497.00,10393.00,9214.00,19607.00,373260.00,19300.00,59804.00,0.14,0.16,38600.00,115835.00,239786.00,201151.00,No,No,No
2011,203893.00,18580.00,7326.00,4826.00,12152.00,216045.00,19300.00,11432.00,0.12,0.13,38600.00,99839.00,176579.00,153940.00,No,No,No
2012,197966.00,36416.00,6825.00,6779.00,13604.00,211570.00,19300.00,30720.00,0.13,0.14,38600.00,82234.00,156983.00,151949.00,No,No,No
2013,382699.00,109846.00,22141.00,13583.00,35724.00,418423.00,19300.00,126270.00,0.18,0.19,38600.00,81087.00,228226.00,224339.00,No,No,No
2014,280218.00,33163.00,11578.00,24211.00,35789.00,316007.00,19300.00,49652.00,0.17,0.19,38600.00,97269.00,218074.00,198005.00,No,No,No
2015,377887.00,54489.00,10775.00,12756.00,23531.00,401418.00,19300.00,58720.00,0.17,0.20,38600.00,108648.00,265362.00,233914.00,No,No,No
2016,231482.00,34640.00,6820.00,10049.00,16869.00,248351.00,19300.00,32209.00,0.17,0.19,38600.00,111913.00,266851.00,232138.00,No,No,No
2017,416258.00,76492.00,36869.00,17781.00,54650.00,470908.00,19300.00,111842.00,0.14,0.18,38600.00,130839.00,252423.00,198784.00,No,No,No
2018,362708.00,60426.00,13072.00,7583.00,20655.00,383363.00,19300.00,61781.00,0.15,0.18,38600.00,115705.00,264552.00,226047.00,No,No,No
2019,273194.00,39361.00,10445.00,4229.00,14674.00,287868.00,19300.00,34735.00,0.15,0.17,38600.00,106848.00,240567.00,210919.00,No,No,No
2020,226730.00,1621.00,NA,10765.00,10765.00,237495.00,19300.00,0.00,0.13,0.15,38600.00,100744.00,208358.00,177900.00,No,No,No
2021,277020.00,33047.00,NA,10923.00,10923.00,287943.00,19300.00,24670.00,0.11,0.10,38600.00,57017.00,121186.00,134455.00,Yes,No,Yes
2022,214514.00,24011.00,1899.00,3162.00,5061.00,219575.00,19300.00,9772.00,0.10,0.07,38600.00,41423.00,69177.00,98040.00,Yes,No,Yes
2023,196778.00,24638.00,1817.00,3726.00,5543.00,202321.00,19300.00,10881.00,0.09,0.05,38600.00,32292.00,45323.00,83317.00,Yes,Yes,Yes
2024,135469.00,4434.00,642.00,964.00,1606.00,137075.00,19300.00,0.00,0.10,0.05,38600.00,23133.00,45323.00,86130.00,Yes,Yes,Yes
