"","Year","Run","Esc","C_total","C_EEZ","Esc_goal","C_state","F_state","F_bar_state","Potential_Yield_EEZ","F_EEZ","MFMT","MSST","Cum_Esc","Overfished","Overfishing","OFL_post","Cum_Catch","OFL_exceeded"
"1",1999,265287,7583,257704,29177,20300,228527,0.861433089446524,NA,16460,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2000,485811,41823,443988,68810,20300,375178,0.772271521229449,NA,90333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2001,381499,60514,320985,19384,20300,301601,0.790568258370271,NA,59598,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2002,537877,72550,465327,66185,20300,399142,0.7420692834979,0.791585538136036,118435,0.109882584224597,0.170506095874584,40600,182470,"NO","NO",284826,183556,"NO"
"5",2003,290134,28182,261952,26096,20300,235856,0.812920926192725,0.779457497322586,33978,0.106454765793617,0.178340267123453,40600,203069,"NO","NO",302344,180475,"NO"
"6",2004,612672,103139,509533,92888,20300,416645,0.680045766739789,0.756401058700171,175727,0.112257172993697,0.212787745680728,40600,264385,"NO","NO",387738,204553,"NO"
"7",2005,456543,64726,391817,64728,20300,327089,0.716447300692377,0.737870819280698,109154,0.131717043725945,0.230491254073052,40600,268597,"NO","NO",437294,249897,"NO"
"8",2006,428098,68205,359893,44646,20300,315247,0.736389798597517,0.736450948055602,92551,0.127756515298076,0.230166265069678,40600,264252,"NO","NO",411410,228358,"NO"
"9",2007,345048,28148,316900,65791,20300,251109,0.727750921610906,0.715158446910148,73639,0.145494286950277,0.244833124452808,40600,264218,"NO","NO",451071,268053,"NO"
"10",2008,388652,31209,357443,38407,20300,319036,0.820878317878205,0.750366584694751,49316,0.131969714664586,0.20061284982584,40600,192288,"NO","NO",324660,213572,"NO"
"11",2009,352561,36871,315690,37456,20300,278234,0.789179744781754,0.768549695717096,54027,0.123022348069381,0.177984876769643,40600,164433,"NO","NO",269533,186300,"NO"
"12",2010,373260,19607,353653,59497,20300,294156,0.788072657129079,0.781470410349986,58804,0.137819873780507,0.161550262038025,40600,115835,"NO","NO",235786,201151,"NO"
"13",2011,216045,12152,203893,18580,20300,185313,0.857751857251961,0.81397064426025,10432,0.115699299069986,0.129708128713779,40600,99839,"NO","NO",172579,153940,"NO"
"14",2012,211570,13604,197966,36416,20300,161550,0.763577066691875,0.799645331463667,29720,0.131735961076297,0.132632413068432,40600,82234,"NO","NO",152983,151949,"NO"
"15",2013,418423,35724,382699,109846,20300,272853,0.652098474510244,0.76537501389579,125270,0.183990296055599,0.183897619777938,40600,81087,"NO","YES",224226,224339,"YES"
"16",2014,316007,35789,280218,33163,20300,247055,0.781802301847744,0.763807425075456,48652,0.170393573398621,0.18422178142843,40600,97269,"NO","NO",214074,198005,"NO"
"17",2015,401418,23531,377887,54489,20300,323398,0.805639009710576,0.75077921319011,57720,0.173601658876459,0.193972471794202,40600,108648,"NO","NO",261362,233914,"NO"
"18",2016,248351,16869,231482,34640,20300,196842,0.792595962971762,0.758033937260082,31209,0.167705655039485,0.189893938660554,40600,111913,"NO","NO",262851,232138,"NO"
"19",2017,470908,54650,416258,76492,20300,339766,0.721512482268299,0.775387439199595,110842,0.138363063833105,0.172914155096041,40600,130839,"NO","NO",248423,198784,"NO"
"20",2018,383363,20655,362708,60426,20300,302282,0.788500716031542,0.777062042745545,60781,0.15029321028696,0.17323475439483,40600,115705,"NO","NO",260552,226047,"NO"
"21",2019,287868,14674,273194,39361,20300,233833,0.812292439590368,0.778725400215493,33735,0.151686815439162,0.17013211170163,40600,106848,"NO","NO",236567,210919,"NO"
"22",2020,237495,10765,226730,1621,20300,225109,0.947847323101539,0.817538240247937,0,0.12894724252954,0.148849622436095,40600,100744,"NO","NO",205358,177900,"NO"
"23",2021,287943,10923,277020,33047,20300,243973,0.847296166255127,0.848984161244644,23670,0.112357719636758,0.0987624815216238,40600,57017,"NO","YES",118186,134455,"YES"
"24",2022,219575,5061,214514,24011,19300,190503,0.867598770351816,0.868758674824712,9772,0.0949189693682041,0.0650384700657675,40100,41423,"NO","YES",67177,98040,"YES"
"25",2023,203589.6,5543,198046.6,24638,19300,173408.6,0.8517556888957,0.878624487151045,10881,0.0878313004834691,0.0467245187816268,39600,32292,"YES","YES",44323,83317,"YES"
