"","Year","Run","Esc","C_total","C_EEZ","F_EEZ","MFMT","ACL","Esc_goal","C_state","F_state","F_bar_state","Potential_Yield_EEZ"
"1",1999,265287,7583,257704,29177,NA,NA,NA,20300,228527,0.861433089446524,NA,16460
"2",2000,485811,41823,443988,68810,NA,NA,NA,20300,375178,0.772271521229449,NA,90333
"3",2001,381499,60514,320985,19384,NA,NA,NA,20300,301601,0.790568258370271,NA,59598
"4",2002,537877,72550,465327,66185,0.109882584224597,0.17,284826,20300,399142,0.7420692834979,0.791585538136036,118435
"5",2003,290134,28182,261952,26096,0.106454765793617,0.18,302344,20300,235856,0.812920926192725,0.779457497322586,33978
"6",2004,612672,103139,509533,92888,0.112257172993697,0.21,387738,20300,416645,0.680045766739789,0.756401058700171,175727
"7",2005,456543,64726,391817,64728,0.131717043725945,0.23,437294,20300,327089,0.716447300692377,0.737870819280698,109154
"8",2006,428098,68205,359893,44646,0.127756515298076,0.23,411410,20300,315247,0.736389798597517,0.736450948055602,92551
"9",2007,345048,28148,316900,65791,0.145494286950277,0.25,451071,20300,251109,0.727750921610906,0.715158446910148,73639
"10",2008,388652,31209,357443,38407,0.131969714664586,0.2,324660,20300,319036,0.820878317878205,0.750366584694751,49316
"11",2009,352561,36871,315690,37456,0.123022348069381,0.18,269533,20300,278234,0.789179744781754,0.768549695717096,54027
"12",2010,373260,19607,353653,59497,0.137819873780507,0.16,235786,20300,294156,0.788072657129079,0.781470410349986,58804
"13",2011,216045,12152,203893,18580,0.115699299069986,0.13,172579,20300,185313,0.857751857251961,0.81397064426025,10432
"14",2012,211570,13604,197966,36416,0.131735961076297,0.13,152983,20300,161550,0.763577066691875,0.799645331463667,29720
"15",2013,418423,35724,382699,109846,0.183990296055599,0.18,224226,20300,272853,0.652098474510244,0.76537501389579,125270
"16",2014,316007,35789,280218,33163,0.170393573398621,0.18,214074,20300,247055,0.781802301847744,0.763807425075456,48652
"17",2015,401418,23531,377887,54489,0.173601658876459,0.19,261362,20300,323398,0.805639009710576,0.75077921319011,57720
"18",2016,248351,16869,231482,34640,0.167705655039485,0.19,262851,20300,196842,0.792595962971762,0.758033937260082,31209
"19",2017,470908,54650,416258,76492,0.138363063833105,0.17,248423,20300,339766,0.721512482268299,0.775387439199595,110842
"20",2018,383363,20655,362708,60426,0.15029321028696,0.17,260552,20300,302282,0.788500716031542,0.777062042745545,60781
"21",2019,287868,14674,273194,39361,0.151686815439162,0.17,236567,20300,233833,0.812292439590368,0.778725400215493,33735
"22",2020,237495,10765,226730,1621,0.12894724252954,0.15,205358,20300,225109,0.947847323101539,0.817538240247937,0
"23",2021,287943,10923,277020,33047,0.112357719636758,0.1,118186,20300,243973,0.847296166255127,0.848984161244644,23670
"24",2022,219575,5061,214514,24011,0.0949189693682041,0.07,69177,19300,190503,0.867598770351816,0.868758674824712,9772
