"","buffer","OFL","ABC","Preseason OFL","Preseason ABC"
"1",0.1,74764,7476.4,74764,7476.4
"2",0.2,74764,14952.8,74764,14952.8
"3",0.3,74764,22429.2,74764,22429.2
"4",0.4,74764,29905.6,74764,29905.6
"5",0.5,74764,37382,74764,37382
"6",0.6,74764,44858.4,74764,44858.4
"7",0.7,74764,52334.8,74764,52334.8
"8",0.8,74764,59811.2,74764,59811.2
"9",0.9,74764,67287.6,74764,67287.6
