"","Year","Total catch","EEZ catch","Cumulative EEZ catch"
"1",1999,26144,1257,1257
"2",2001,84759,14518,14518
"3",2003,60415,13424,13424
"4",2005,62780,16016,16016
"5",2007,163094,41584,41584
"6",2009,244571,74764,74764
"7",2011,47718,6313,6313
"8",2013,63904,12718,12718
"9",2015,70815,9509,9509
"10",2017,196211,23323,23323
"11",2019,99581,15691,15691
"12",2021,111708,25560,25560
