"","buffer","OFL","ABC","Cumulative catch","ABC exceeded"
"1","0.1","390030","39003","147948","YES"
"2","0.2","390030","78006","147948","YES"
"3","0.3","390030","117009","147948","YES"
"4","0.4","390030","156012","147948","NO"
"5","0.5","390030","195015","147948","NO"
"6","0.6","390030","234018","147948","NO"
"7","0.7","390030","273021","147948","NO"
"8","0.8","390030","312024","147948","NO"
"9","0.9","390030","351027","147948","NO"
"10","1","390030","390030","147948","NO"
