UCI chum salmon data 1999-2021,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Shaded = incomplete catch data.,,,,,,,,,,,,,,,,,,
,,,Generation time (yrs):,4,,,Proxies = *,,,,,,,,,,,,,Buffer:,10%,,,,
,,,Assumed proportion catch in EEZ:,Annual est.,,,,,,,,,,,,,,,,ACL*:,"504,839",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Commercial Catches,,,,,,Sport Fish Catches,,,,,,,Personal Use,,Total,P_EEZ,,,cumulative EEZ catch,EEZ ACL Exceeded?,,,,
Year,Drift,Upper SD,Kalgin/W Side ,N District,Total,,SW_Res,SW_Non,FW_Res,FW_Non,Total-Salt,Total-Fresh,,Total,,Catch,Drift,EEZ Catch,,,,,,,
1999,"166,612",373,"3,567","4,002","174,554",,68,16,2724,2190,84,4914,,168,,"179,720",0.48,"80,551",,,,,,,
2000,"118,074",325,"4,386","4,284","127,069",,65,91,3312,2508,156,5820,,290,,"133,335",0.53,"62,061",,,,,,,
2001,"75,599",248,"6,445","2,202","84,494",,9,64,3991,2119,73,6110,,276,,"90,953",0.48,"36,633",,,,,,,
2002,"224,587","1,790","6,671","4,901","237,949",,0,29,2605,4444,29,7049,,757,,"245,784",0.52,"116,282",,"295,527",No,,,,
2003,"106,468","1,933","7,883","4,483","120,767",,0,28,2247,2733,28,4980,,371,,"126,146",0.50,"53,224",,"268,200",No,,,,
2004,"137,041","2,019","4,957","2,148","146,165",,0,33,2610,1936,33,4546,,502,,"151,246",0.47,"64,510",,"270,649",No,,,,
2005,"65,671",710,"2,632",727,"69,740",,0,18,2362,1444,18,3806,,428,,"73,992",0.51,"33,787",,"267,803",No,,,,
2006,"59,965",347,"3,241",480,"64,033",,0,0,1397,1577,0,2974,,746,,"67,753",0.55,"33,259",,"184,780",No,,,,
2007,"74,836",521,"1,275",608,"77,240",,14,0,824,1179,14,2003,,614,,"79,871",0.62,"46,255",,"177,811",No,,,,
