"","Year","Total Catch","EEZ Catch","OFL","Max ABC","Cumulative Catch    (∑CEEZ)","Max ABC Exceeded?"
"1","1999",179720,80551,NA,NA,NA,NA
"2","2000",133335,62061,NA,NA,NA,NA
"3","2001",90953,36633,NA,NA,NA,NA
"4","2002",245784,116282,560932,504839,295527,"No"
"5","2003",126146,53224,560932,504839,268200,"No"
"6","2004",151246,64510,560932,504839,270649,"No"
"7","2005",73992,33787,560932,504839,267803,"No"
"8","2006",67753,33259,560932,504839,184780,"No"
"9","2007",79871,46255,560932,504839,177811,"No"
"10","2008",53862,23460,560932,504839,136761,"No"
"11","2009",86817,41179,560932,504839,144153,"No"
"12","2010",233038,122502,560932,504839,233396,"No"
"13","2011",134114,48972,560932,504839,236113,"No"
"14","2012",274157,140233,560932,504839,352886,"No"
"15","2013",145038,76391,560932,504839,388098,"No"
"16","2014",122739,57216,560932,504839,322812,"No"
"17","2015",281694,116190,560932,504839,390030,"No"
"18","2016",127623,39656,560932,504839,289453,"No"
"19","2017",249251,103807,560932,504839,316869,"No"
"20","2018",118603,64550,560932,504839,324203,"No"
"21","2019",132645,53994,560932,504839,262007,"No"
"22","2020",33287,7681,560932,504839,230032,"No"
"23","2021",73235,29239,560932,504839,155464,"No"
"24","2022",103440,38805,560932,504839,129719,"No"
"25","2023",130478,50773,560932,504839,126498,"No"
"26","2024",75795,28805,560932,504839,147622,"No"
