"Buffer","Preseason OFL","ABC","OFL"
"10%","97508","87757","390030"
"20%","97508","78006","390030"
"30%","97508","68255","390030"
"40%","97508","58504","390030"
"50%","97508","48754","390030"
"60%","97508","39003","390030"
"70%","97508","29252","390030"
"80%","97508","19501","390030"
"90%","97508","9751","390030"
