"","Year","Run size","Escapement","Escapement goal","Total catch","State catch","F_state","EEZ Catch"," F_EEZ","MFMT","Potential Yield EEZ"
"1",1999,45657,29100,13500,16557,16495,0.361,62,NA,NA,15662
"2",2000,41719,25502,13500,16217,16168,0.388,49,NA,NA,12051
"3",2001,45754,29531,13500,16223,16165,0.353,58,NA,NA,16089
"4",2002,55910,40514,13500,15396,15357,0.275,39,NA,NA,27053
"5",2003,67984,48461,13500,19523,19414,0.286,109,NA,NA,35070
"6",2004,91312,65112,13500,26200,26079,0.286,121,0.001,0.453,51733
"7",2005,84189,55688,13500,28501,28307,0.336,194,0.001,0.477,42382
"8",2006,57122,39305,13500,17817,17708,0.31,109,0.002,0.493,25914
"9",2007,44421,29664,13500,14757,14643,0.33,114,0.002,0.495,16278
"10",2008,42680,28094,13500,14586,14537,0.341,49,0.002,0.48,14643
"11",2009,28044,18251,13500,9793,9688,0.345,105,0.002,0.448,4856
"12",2010,22180,13037,13500,9143,9078,0.409,65,0.002,0.374,0
"13",2011,26381,15731,13500,10650,10578,0.401,72,0.002,0.29,2303
"14",2012,23206,22453,13500,753,715,0.031,38,0.002,0.252,8991
"15",2013,14382,12305,13500,2077,2045,0.142,32,0.002,0.196,0
"16",2014,13403,11980,13500,1423,1391,0.104,32,0.003,0.127,0
"17",2015,22796,16825,13500,5971,5931,0.26,40,0.002,0.12,3365
"18",2016,25129,14676,13500,10453,10351,0.412,102,0.003,0.127,1278
"19",2017,31262,20615,13500,10647,10606,0.339,41,0.002,0.16,7156
"20",2018,18511,17289,13500,1222,1119,0.06,103,0.003,0.125,3892
"21",2019,13271,11638,13500,1633,1604,0.121,29,0.003,0.126,0
"22",2020,12219,11909,15000,310,281,0.023,29,0.003,0.127,0
"23",2021,12665,12147,15000,518,493,0.039,25,0.003,0.109,0
"24",2022,14113,13974,15000,139,107,0.008,32,0.003,0.108,0
"25",2023,14742,14502,15000,240,219,0.015,21,0.003,0.046,0
