Year,EEZ Catch,State waters Catch
1999,155.00,16495.00
2000,116.00,16168.00
2001,211.00,16165.00
2002,122.00,15357.00
2003,428.00,19414.00
2004,306.00,26079.00
2005,512.00,28307.00
2006,410.00,17708.00
2007,402.00,14643.00
2008,127.00,14537.00
2009,480.00,9688.00
2010,205.00,9078.00
2011,204.00,10578.00
2012,94.00,715.00
2013,179.00,2045.00
2014,131.00,1391.00
2015,156.00,5931.00
2016,231.00,10351.00
2017,75.00,10606.00
2018,260.00,1119.00
2019,81.00,1604.00
2020,76.00,281.00
2021,87.00,493.00
2022,80.00,89.00
2023,51.00,219.00
