"","Year","Run","Esc","C_total","C_EEZ","Esc_goal","C_state","F_state","F_bar_state","Potential_Yield_EEZ","F_EEZ","MFMT","MSST","Cum_Esc","Overfished","Overfishing","OFL_post","Cum_Catch","OFL_exceeded"
"1",1999,2985,949,2035,341,700,1694,0.56750418760469,NA,591,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2000,1815,697,1118,181,700,937,0.516253443526171,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2001,2190,738,1451,221,700,1230,0.561643835616438,NA,260,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2002,3467,1127,2340,360,700,1980,0.571098932794924,NA,787,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2003,4440,1402,3037,431,700,2606,0.586936936936937,0.560687467295832,1134,0.102973753104652,0.198026448278177,1750,4913,"NO","NO",2950,1534,"NO"
"6",2004,5705,1691,4015,716,700,3299,0.578264680105171,0.562839565795928,1706,0.108361241982176,0.230743032298348,1750,5655,"NO","NO",4065,1909,"NO"
"7",2005,6109,1654,4455,857,700,3598,0.588967097724668,0.577382296635628,1811,0.117977271690019,0.260052028661403,1750,6612,"NO","NO",5698,2585,"NO"
"8",2006,2849,1892,957,107,700,850,0.298350298350298,0.5247235891824,1299,0.109481612760301,0.298493575542756,1750,7766,"NO","NO",6737,2471,"NO"
"9",2007,3602,964,2638,774,700,1864,0.517490283176013,0.514001859258618,1038,0.127064523232768,0.307773618145783,1750,7603,"NO","NO",6988,2885,"NO"
"10",2008,2082,709,1374,220,700,1154,0.554274735830932,0.507469419037417,228,0.131419865336413,0.298913844792844,1750,6910,"NO","NO",6082,2674,"NO"
"11",2009,2430,848,1582,328,700,1254,0.516049382716049,0.495026359559592,476,0.133903467666354,0.284208059981256,1750,6067,"NO","NO",4852,2286,"NO"
"12",2010,3596,1038,2558,672,700,1886,0.524471635150167,0.482127267044692,1010,0.144309361906724,0.278247132357992,1750,5451,"NO","NO",4051,2101,"NO"
"13",2011,6263,1281,4982,1140,700,3842,0.613444036404279,0.545146014655488,1721,0.174372670116286,0.248873309964947,1750,4840,"NO","NO",4473,3134,"NO"
"14",2012,4770,1213,3557,1214,700,2343,0.491194968553459,0.539886951730977,1727,0.186719607126064,0.269682879682357,1750,5089,"NO","NO",5162,3574,"NO"
"15",2013,3628,980,2648,683,700,1965,0.541620727673649,0.537356150099521,963,0.195146710494513,0.285058249141973,1750,5360,"NO","NO",5897,4037,"NO"
"16",2014,3404,1218,2186,504,700,1682,0.494124559341951,0.532971185424701,1022,0.19449702229814,0.297447024606436,1750,5730,"NO","NO",6443,4213,"NO"
"17",2015,3819,1400,2419,238,700,2181,0.571091908876669,0.542295240170002,938,0.172683238895997,0.291125936757448,1750,6092,"NO","NO",6371,3779,"NO"
"18",2016,3712,1120,2592,400,700,2192,0.59051724137931,0.537709881165008,820,0.15719236538561,0.28293591268815,1750,5931,"NO","NO",5470,3039,"NO"
"19",2017,2596,1071,1525,202,700,1323,0.509630200308166,0.541396927515949,573,0.118130427181071,0.251529809429454,1750,5789,"NO","NO",4316,2027,"NO"
"20",2018,1566,887,679,97,700,582,0.371647509578544,0.507402283896928,284,0.0954494270384845,0.240908789825793,1750,5696,"NO","NO",3637,1441,"NO"
"21",2019,3542,1457,2085,252,700,1833,0.517504234895539,0.512078219007646,1009,0.0780439776829669,0.237873318017722,1750,5935,"NO","NO",3624,1189,"NO"
"22",2020,2394,1506,888,50,750,838,0.350041771094403,0.467868191451193,806,0.0724837074583635,0.252860246198407,1775,6041,"NO","NO",3492,1001,"NO"
"23",2021,3992,2242,1751,256,750,1495,0.374498997995992,0.424664542774529,1747,0.0608232789212207,0.313626685592619,1800,7163,"NO","NO",4419,857,"NO"
"24",2022,2682,1263.18,1418.82,331.568,750,1087.252,0.405388516032811,0.403816205919458,844.748,0.0695942437923251,0.330893623024831,1825,7355.18,"NO","NO",4690.748,986.568,"NO"
"25",2023,3882.2,2093.1324,1789.0676,418.128,750,1370.9396,0.353134717428262,0.400113647489402,1761.2604,0.0792917864202471,0.373995488776513,1850,8561.3124,"NO","NO",6168.0084,1307.696,"NO"
