"","buffer","OFL","ABC","Cumulative catch","ABC exceeded"
"1","0.1","6070","607","1307.696","YES"
"2","0.2","6070","1214","1307.696","YES"
"3","0.3","6070","1821","1307.696","NO"
"4","0.4","6070","2428","1307.696","NO"
"5","0.5","6070","3035","1307.696","NO"
"6","0.6","6070","3642","1307.696","NO"
"7","0.7","6070","4249","1307.696","NO"
"8","0.8","6070","4856","1307.696","NO"
"9","0.9","6070","5463","1307.696","NO"
