"","Year","Run size","Escapement","Escapement goal","Total catch","State catch","F_state","EEZ Catch"," F_EEZ","MFMT","Potential Yield EEZ","NA","NA"
"1",1999,2985,949,1212,2035,1694,0.568,341,NA,NA,79,NA,NA
"2",2000,1815,697,1212,1118,937,0.516,181,NA,NA,0,NA,NA
"3",2001,2190,738,1212,1451,1230,0.562,221,NA,NA,0,NA,NA
"4",2002,3467,1127,1212,2340,1980,0.571,360,NA,NA,275,NA,NA
"5",2003,4440,1402,1212,3037,2606,0.587,431,0.103,0.066,622,4913,3030
"6",2004,5705,1691,1212,4015,3299,0.578,716,0.108,0.119,1194,5655,3030
"7",2005,6109,1654,1212,4455,3598,0.589,857,0.118,0.155,1299,6612,3030
"8",2006,2849,1892,1212,957,850,0.298,107,0.109,0.185,787,7766,3030
"9",2007,3602,964,1212,2638,1864,0.517,774,0.127,0.195,526,7603,3030
"10",2008,2082,709,1212,1374,1154,0.554,220,0.131,0.187,0,6910,3030
"11",2009,2430,848,1212,1582,1254,0.516,328,0.134,0.153,0,6067,3030
"12",2010,3596,1038,1212,2558,1886,0.524,672,0.144,0.124,498,5451,3030
"13",2011,6263,1281,1212,4982,3842,0.613,1140,0.174,0.124,1209,4840,3030
"14",2012,4770,1213,1212,3557,2343,0.491,1214,0.187,0.153,1215,5089,3030
"15",2013,3628,980,1212,2648,1965,0.542,683,0.195,0.163,451,5360,3030
"16",2014,3404,1218,1212,2186,1682,0.494,504,0.194,0.179,510,5730,3030
"17",2015,3819,1400,1212,2419,2181,0.571,238,0.173,0.174,426,6092,3030
"18",2016,3712,1120,1212,2592,2192,0.591,400,0.157,0.151,308,5931,3030
"19",2017,2596,1071,1212,1525,1323,0.51,202,0.118,0.102,61,5789,3030
"20",2018,1566,887,1212,679,582,0.372,97,0.095,0.086,0,5696,3030
"21",2019,3542,1457,1212,2085,1833,0.518,252,0.078,0.085,497,5935,3030
"22",2020,2394,1506,1212,888,838,0.35,50,0.072,0.088,344,6041,3030
"23",2021,3992,2242,1212,1751,1495,0.374,256,0.061,0.155,1285,7163,3030
"24",2022,2682,1263,1212,1419,1087,0.405,332,0.07,0.177,383,7355,3030
"25",2023,3882,2093,1212,1789,1371,0.353,418,0.079,0.231,1299,8561,3030
