"","Year","Run size","Escapement","Escapement goal","Total catch","State catch","F_state","EEZ Catch"," F_EEZ","MFMT","Potential Yield EEZ"
"1",1999,265287,7583,20300,257704,228527,0.861,29177,NA,NA,16460
"2",2000,485811,41823,20300,443988,375178,0.772,68810,NA,NA,90333
"3",2001,381499,60514,20300,320985,301601,0.791,19384,NA,NA,59598
"4",2002,537877,72550,20300,465327,399142,0.742,66185,0.11,0.171,118435
"5",2003,290134,28182,20300,261952,235856,0.813,26096,0.106,0.178,33978
"6",2004,612672,103139,20300,509533,416645,0.68,92888,0.112,0.213,175727
"7",2005,456543,64726,20300,391817,327089,0.716,64728,0.132,0.23,109154
"8",2006,428098,68205,20300,359893,315247,0.736,44646,0.128,0.23,92551
"9",2007,345048,28148,20300,316900,251109,0.728,65791,0.145,0.245,73639
"10",2008,388652,31209,20300,357443,319036,0.821,38407,0.132,0.201,49316
"11",2009,352561,36871,20300,315690,278234,0.789,37456,0.123,0.178,54027
"12",2010,373260,19607,20300,353653,294156,0.788,59497,0.138,0.162,58804
"13",2011,216045,12152,20300,203893,185313,0.858,18580,0.116,0.13,10432
"14",2012,211570,13604,20300,197966,161550,0.764,36416,0.132,0.133,29720
"15",2013,418423,35724,20300,382699,272853,0.652,109846,0.184,0.184,125270
"16",2014,316007,35789,20300,280218,247055,0.782,33163,0.17,0.184,48652
"17",2015,401418,23531,20300,377887,323398,0.806,54489,0.174,0.194,57720
"18",2016,248351,16869,20300,231482,196842,0.793,34640,0.168,0.19,31209
"19",2017,470908,54650,20300,416258,339766,0.722,76492,0.138,0.173,110842
"20",2018,383363,20655,20300,362708,302282,0.789,60426,0.15,0.173,60781
"21",2019,287868,14674,20300,273194,233833,0.812,39361,0.152,0.17,33735
"22",2020,237495,10765,20300,226730,225109,0.948,1621,0.129,0.149,0
"23",2021,287943,10923,20300,277020,243973,0.847,33047,0.112,0.099,23670
"24",2022,219575,5061,19300,214514,190503,0.868,24011,0.095,0.065,9772
"25",2023,203590,5543,19300,198047,173409,0.852,24638,0.088,0.047,10881
