"","buffer","OFL","ABC","Cumulative catch","ABC exceeded"
"1","0.1","268053","26805.3","86130","YES"
"2","0.2","268053","53610.6","86130","YES"
"3","0.3","268053","80415.9","86130","YES"
"4","0.4","268053","107221.2","86130","NO"
"5","0.5","268053","134026.5","86130","NO"
"6","0.6","268053","160831.8","86130","NO"
"7","0.7","268053","187637.1","86130","NO"
"8","0.8","268053","214442.4","86130","NO"
"9","0.9","268053","241247.7","86130","NO"
"10","1","268053","268053","86130","NO"
